gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup161,0,0.055268155,2.336651738,216.4784021,186.7239407,0.118137377,0
MLT2A1_dup2477,0,0.026253391,9.262160061,93.20100481,48.6873949,15.23289305,0
MLT2A1_dup287,0,0.142212685,0.810594721,92.33850677,65.92688398,0.022055814,0
MLT2A1_dup2911,0.014776286,0.245296177,9.529777635,80.97131885,0.687359024,0.021285305,0
MLT2A1_dup346,0,0,4.034274724,79.36012014,8.933830696,0,0
MLT2A1_dup1692,0,0,0.323107827,40.82112003,18.91112803,0.02407079,0
MLT2A1_dup418,0,0,1.209030199,35.8524789,2.644336338,0,0.299067412
MLT2A1_dup1053,0,0,0.318698109,33.6520341,2.574132009,0,0
MLT2A1_dup2893,0,0,1.347746634,33.06954343,7.527998255,0.0237701,0
MLT2A1_dup349,0.028339586,0,5.817828512,29.25497531,0.109411408,0,0
MLT2A1_dup2089,0,0.07189488,0.892693072,28.30443581,2.375866745,0,0
MLT2A1_dup1730,0,0.023518078,1.817066298,28.21050301,27.27515874,0.115631075,0
MLT2A1_dup3014,0,0.025977765,1.106094207,27.14856955,1.812986071,0,0.025708365
MLT2A1_dup872,216.4768724,256.0249636,266.9919657,26.51465239,55.7664362,23.23724082,0
MLT2A1_dup2322,0,0,0.399198176,26.49244884,2.257101606,0,0
MLT2A1_dup1948,0,0,2.456920457,25.68518616,0.559989766,0,0
MLT2A1_dup537,0,0,0.506610678,24.79688713,6.57395594,0.026960298,0
MLT2A1_dup1323,0,0,2.113948605,24.51285269,1.622251075,0,0
MLT2A1_dup787,0.061663223,0,1.486751618,23.47171112,2.214157901,0.022206537,0
MLT2A1_dup3401,0,0.009260897,9.98603133,23.36550275,0.417756387,0,0.105932508
MLT2A1_dup3062,0,0,4.195725863,20.50452931,0.725085846,0,0
MLT2A1_dup3664,0,0,1.805314704,19.14630344,1.258641327,0,0
MLT2A1_dup2316,0.095993457,0.259845799,1.336358783,19.01488797,2.394431789,0,0
MLT2A1_dup1806,0.602624297,0.579100415,1.67686749,17.3618801,1.083026858,0.024932659,0
MLT2A1_dup341,0,0,0,15.64310936,0.108153806,0,0
MLT2A1_dup3543,0,0.024061221,8.773070084,15.45277959,2.577632223,0,0
MLT2A1_dup3505,0.062859432,0.207885699,7.147768147,14.58816376,4.62875854,0.022618723,0
MLT2A1_dup3353,0,0.008388493,4.49634385,14.56352621,3.731490725,0.024746167,0
MLT2A1_dup3650,0,0,2.715202136,14.43073635,0.55857565,0,0
MLT2A1_dup3405,0.016307322,0.023849466,8.78367445,14.02172483,3.425734868,0.023490771,0
MLT2A1_dup3502,0,0.090739187,5.116461558,13.64464228,1.334173046,0,0
MLT2A1_dup3456,0,0.008114103,0.890911317,13.45516224,36.71511511,0.955149627,0
MLT2A1_dup1096,0,0,0.965772625,13.01451613,0.01953837,0,0
MLT2A1_dup3420,0,0,2.978281326,12.55433083,1.440855085,0,0
MLT2A1_dup415,0,0.027341239,0.438436772,12.5252464,0.900401717,0,0.054491878
MLT2A1_dup3500,0.024969968,0.09122146,2.962404078,12.23769636,1.227147745,0,0
MLT2A1_dup3085,0,0,0.613201826,12.1304976,0.549679456,0,0
MLT2A1_dup3440,0,0,1.522171445,11.62832967,6.071085764,0,0
MLT2A1_dup2912,0,0,2.759414322,11.60894131,0.870506191,0,0
MLT2A1_dup3554,0.014037521,0.008996985,7.922042728,11.60228095,0,0,0
MLT2A1_dup2833,0,0,2.392309977,11.60131911,13.6181963,1.80111634,0.231984166
MLT2A1_dup2018,0.137411953,0.100482522,5.689862955,11.53028672,7.443580375,0,0
MLT2A1_dup519,0,0,2.906560481,11.45463037,0.58565518,0,0
MLT2A1_dup3259,0,0,3.13046357,11.18614586,2.836953676,0.023434302,0
MLT2A1_dup1835,0.048454931,0.75589716,3.279422334,10.33009382,0.17131857,0,0
MLT2A1_dup2417,0,0,3.486472761,10.31231991,0.793944787,0,0
MLT2A1_dup413,0,0,1.033047221,10.07919322,2.442513088,0,0.027358602
